period,source,target,mode,route,flow_persons
早高峰,TYGY,T_9,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,6.14
早高峰,TYGY,T_10,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,6.14
早高峰,CYGY,T_25,p,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,51.03
早高峰,XYGY,T_1,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,39.85
早高峰,XYGY,T_9,b,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,38.12
早高峰,XYGY,T_10,b,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,5.2
早高峰,GYGY,T_25,p,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_25,17.32
早高峰,GYGY,T_7,p,GYGY -> N61 -> N33 -> N46 -> T_7,61.43
早高峰,TYGY,T_1,b,TYGY -> N4 -> N14 -> T_2 -> N27 -> N26 -> N25 -> T_1,11.7
早高峰,TYGY,T_2,b,TYGY -> N4 -> N14 -> T_2,11.7
早高峰,TYGY,T_3,b,TYGY -> N3 -> T_3,87.75
早高峰,TYGY,T_4,b,TYGY -> N4 -> T_4,87.75
早高峰,TYGY,T_5,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> T_5,11.7
早高峰,GYGY,T_1,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,1.24
早高峰,GYGY,T_2,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,8.66
早高峰,GYGY,T_3,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,4.95
早高峰,GYGY,T_4,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,12.38
早高峰,GYGY,T_5,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_5,14.85
早高峰,GYGY,T_6,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> N44 -> T_6,54.45
早高峰,GYGY,T_8,b,GYGY -> N61 -> N33 -> N46 -> T_7 -> N42 -> T_8,18.56
早高峰,GYGY,T_9,b,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9,14.85
早高峰,GYGY,T_10,b,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,7.42
早高峰,TYGY,T_25,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,1.17
早高峰,XYGY,T_1,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,24.25
早高峰,XYGY,T_9,p,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,23.15
早高峰,XYGY,T_10,p,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,3.31
早高峰,CYGY,T_16,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16,52.65
早高峰,CYGY,T_2,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,27.41
早高峰,CYGY,T_3,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,27.41
早高峰,CYGY,T_4,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,27.41
早高峰,CYGY,T_5,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_5,56.7
早高峰,CYGY,T_6,p,CYGY -> N28 -> N29 -> N44 -> T_6,37.8
早高峰,CYGY,T_7,p,CYGY -> N28 -> GYST -> N32 -> T_7,56.7
早高峰,CYGY,T_8,p,CYGY -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,49.14
早高峰,CYGY,T_9,p,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,44.42
早高峰,TYGY,T_16,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16,7.02
早高峰,GYGY,T_1,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,13.39
早高峰,GYGY,T_2,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,15.75
早高峰,GYGY,T_3,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,14.17
早高峰,GYGY,T_4,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,2.36
早高峰,GYGY,T_5,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_5,11.81
早高峰,GYGY,T_6,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> N44 -> T_6,20.48
早高峰,GYGY,T_8,p,GYGY -> N61 -> N33 -> N46 -> T_7 -> N42 -> T_8,22.84
早高峰,GYGY,T_9,p,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9,8.66
早高峰,GYGY,T_10,p,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,8.66
早高峰,XYGY,T_2,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,17.32
早高峰,XYGY,T_3,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,17.32
早高峰,XYGY,T_4,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,17.32
早高峰,XYGY,T_5,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_5,24.41
早高峰,XYGY,T_6,b,XYGY -> N12 -> XYST -> N29 -> N44 -> T_6,47.25
早高峰,XYGY,T_7,b,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7,25.99
早高峰,XYGY,T_8,b,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N42 -> T_8,20.48
早高峰,CYGY,T_1,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,21.53
早高峰,CYGY,T_10,b,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,18.56
早高峰,CYGY,T_25,b,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,18.23
早高峰,GYGY,T_16,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16,12.83
早高峰,XYGY,T_25,c,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,4.41
早高峰,TYGY,T_6,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> N44 -> T_6,4.68
早高峰,TYGY,T_7,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7,1.17
早高峰,TYGY,T_8,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N42 -> T_8,0.59
早高峰,TYGY,T_9,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,0.59
早高峰,TYGY,T_10,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,0.59
早高峰,GYGY,T_7,b,GYGY -> N61 -> N33 -> N46 -> T_7,20.25
早高峰,CYGY,T_1,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,13.7
早高峰,CYGY,T_10,p,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,11.81
早高峰,XYGY,T_16,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16,12.29
早高峰,GYGY,T_25,c,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_25,7.2
早高峰,CYGY,T_2,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,9.79
早高峰,CYGY,T_3,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,9.79
早高峰,CYGY,T_4,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,9.79
早高峰,CYGY,T_5,b,CYGY -> N28 -> XYST -> N30 -> N16 -> T_5,20.25
早高峰,CYGY,T_6,b,CYGY -> N28 -> N29 -> N44 -> T_6,13.5
早高峰,CYGY,T_7,b,CYGY -> N28 -> GYST -> N32 -> T_7,20.25
早高峰,CYGY,T_8,b,CYGY -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,16.2
早高峰,CYGY,T_9,b,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,15.53
早高峰,XYGY,T_1,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,6.93
早高峰,XYGY,T_9,c,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,1.57
早高峰,XYGY,T_10,c,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,7.56
早高峰,TYGY,T_1,c,TYGY -> N4 -> N14 -> T_2 -> N27 -> N26 -> N25 -> T_1,2.05
早高峰,TYGY,T_2,c,TYGY -> N4 -> N14 -> T_2,2.05
早高峰,TYGY,T_3,c,TYGY -> N3 -> T_3,17.55
早高峰,TYGY,T_4,c,TYGY -> N4 -> T_4,17.55
早高峰,TYGY,T_5,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> T_5,2.05
早高峰,GYGY,T_1,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,1.35
早高峰,GYGY,T_2,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,1.8
早高峰,GYGY,T_3,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,0.45
早高峰,GYGY,T_4,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,2.03
早高峰,GYGY,T_5,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_5,2.48
早高峰,GYGY,T_6,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> N44 -> T_6,9.0
早高峰,GYGY,T_8,c,GYGY -> N61 -> N33 -> N46 -> T_7 -> N42 -> T_8,3.38
早高峰,GYGY,T_9,c,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9,2.93
早高峰,GYGY,T_10,c,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,1.58
早高峰,CYGY,T_16,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16,10.53
早高峰,XYGY,T_2,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,3.47
早高峰,XYGY,T_3,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,3.47
早高峰,XYGY,T_4,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,3.47
早高峰,XYGY,T_5,c,XYGY -> N12 -> XYST -> N30 -> N16 -> T_5,4.73
早高峰,XYGY,T_6,c,XYGY -> N12 -> XYST -> N29 -> N44 -> T_6,9.45
早高峰,XYGY,T_7,c,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7,8.35
早高峰,XYGY,T_8,c,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,6.61
早高峰,CYGY,T_25,c,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,3.64
早高峰,CYGY,T_1,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,3.78
早高峰,CYGY,T_10,c,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25 -> N38 -> T_10,2.29
早高峰,GYGY,T_7,c,GYGY -> N61 -> N33 -> N46 -> T_7,4.61
早高峰,CYGY,T_2,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,1.89
早高峰,CYGY,T_3,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,1.89
早高峰,CYGY,T_4,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,1.89
早高峰,CYGY,T_5,c,CYGY -> N28 -> XYST -> N30 -> N16 -> T_5,4.05
早高峰,CYGY,T_6,c,CYGY -> N28 -> N29 -> N44 -> T_6,2.7
早高峰,CYGY,T_7,c,CYGY -> N28 -> GYST -> N32 -> T_7,4.05
早高峰,CYGY,T_8,c,CYGY -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,3.64
早高峰,CYGY,T_9,c,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,3.1
早高峰,TYGY,T_25,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,45.05
早高峰,TYGY,T_25,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,28.66
早高峰,GYGY,T_16,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16,118.8
早高峰,XYGY,T_25,b,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,97.02
早高峰,GYGY,T_16,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16,33.08
早高峰,XYGY,T_8,p,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,50.71
早高峰,TYGY,T_8,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,14.33
早高峰,TYGY,T_9,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,10.24
早高峰,TYGY,T_10,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,10.24
早高峰,XYGY,T_9,b,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,43.31
早高峰,XYGY,T_10,b,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,38.12
早高峰,GYGY,T_1,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,12.38
早高峰,GYGY,T_2,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,11.14
早高峰,TYGY,T_25,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,8.19
早高峰,XYGY,T_9,p,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,28.66
早高峰,XYGY,T_10,p,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,24.25
早高峰,XYGY,T_7,b,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7,21.26
早高峰,XYGY,T_8,b,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,20.48
早高峰,TYGY,T_8,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N42 -> T_8,4.1
早高峰,TYGY,T_9,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,4.1
早高峰,TYGY,T_10,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,4.1
早高峰,XYGY,T_9,c,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,12.91
早高峰,GYGY,T_2,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,2.7
早高峰,GYGY,T_3,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,1.35
早高峰,GYGY,T_4,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,10.24
早高峰,GYGY,T_5,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_5,14.17
早高峰,XYGY,T_25,c,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,12.6
早高峰,TYGY,T_7,c,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7,4.1
早高峰,GYGY,T_4,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,2.48
早高峰,GYGY,T_5,c,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_5,2.03
早高峰,GYGY,T_3,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,8.66
早高峰,GYGY,T_4,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,11.14
早高峰,GYGY,T_5,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_5,3.71
早高峰,GYGY,T_10,c,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,2.25
早高峰,CYGY,T_10,c,CYGY -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,1.35
早高峰,GYGY,T_7,c,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7,2.14
早高峰,GYGY,T_16,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16,81.68
早高峰,GYGY,T_25,b,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_25,27.23
早高峰,GYGY,T_16,p,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16,63.79
早高峰,GYGY,T_25,p,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_25,25.2
早高峰,GYGY,T_7,p,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7,33.07
早高峰,GYGY,T_1,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,14.85
早高峰,GYGY,T_2,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,7.42
早高峰,GYGY,T_3,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,13.61
早高峰,GYGY,T_4,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,6.19
早高峰,GYGY,T_5,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_5,22.28
早高峰,GYGY,T_6,b,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N29 -> N44 -> T_6,19.8
早高峰,GYGY,T_8,b,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N42 -> T_8,45.79
早高峰,GYGY,T_9,b,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9,9.9
早高峰,GYGY,T_10,b,GYGY -> N61 -> N60 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,17.33
早高峰,GYGY,T_1,p,GYGY -> N61 -> N60 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N27 -> N26 -> N25 -> T_1,4.72
