u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N31,GYST,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N32,N31,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N32,N43,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,N46,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,GYST,50.0,99.0,9999.0,1389.17,2417.69,2365.48,437.75,0.1389,A
N32,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N33,N31,135.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N34,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N46,206.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N61,109.2,8.0,800.0,147.72,201.83,263.61,48.45,0.1846,A
N33,N60,32.7,8.0,800.0,147.26,176.97,269.29,48.77,0.1841,A
N34,N33,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N35,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N58,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N34,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N37,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N57,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N36,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N35,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N37,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N38,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N35,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N36,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N38,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,N47,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N52,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N38,N36,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N37,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N48,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N39,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N50,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,T_25,50.0,99.0,9999.0,76.64,96.13,133.26,27.05,0.0077,A
N38,T_9,50.0,99.0,9999.0,205.2,275.26,374.17,65.42,0.0205,A
N38,T_10,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N39,N38,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N39,N40,65.1,6.0,600.0,226.35,341.82,397.17,73.02,0.3772,B
N39,N41,146.0,8.0,800.0,148.08,209.0,262.3,48.49,0.1851,A
N39,N48,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N39,T_25,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N40,N39,65.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,N41,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,N49,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,T_8,50.0,99.0,9999.0,226.35,341.82,397.17,73.02,0.0226,A
N41,N39,146.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N41,N40,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,N42,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N41,N45,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,T_8,50.0,99.0,9999.0,148.08,209.0,262.3,48.49,0.0148,A
N42,N41,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N43,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N44,219.9,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N49,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N42,T_7,50.0,99.0,9999.0,491.51,760.69,861.87,156.88,0.0492,A
N42,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N43,N42,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N29,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N32,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N44,N28,210.5,6.0,600.0,157.57,374.94,246.17,46.22,0.2626,A
N44,N42,219.9,8.0,800.0,3.25,3.79,5.96,1.08,0.0041,A
N44,N29,115.0,6.0,600.0,233.05,595.19,355.28,66.95,0.3884,B
N44,N45,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N44,T_6,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N45,N18,278.2,8.0,800.0,19.42,22.36,35.13,6.64,0.0243,A
N45,N41,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N45,N44,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N45,T_6,50.0,99.0,9999.0,207.52,426.67,340.28,62.77,0.0208,A
N46,N33,206.8,12.0,1200.0,103.27,155.14,181.44,33.32,0.0861,A
N46,N32,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N46,N47,240.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,N49,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,T_7,50.0,99.0,9999.0,179.85,262.54,316.22,58.73,0.018,A
N47,N37,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,N46,240.0,12.0,1200.0,216.0,304.72,382.5,70.78,0.18,A
N47,N48,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N48,N38,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N39,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N47,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N48,N49,112.4,12.0,1200.0,451.13,694.58,791.36,144.27,0.3759,B
N48,T_25,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N48,T_9,50.0,99.0,9999.0,0.19,0.0,0.0,0.19,0.0,A
N49,N42,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N46,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N49,N40,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N48,112.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N49,T_7,50.0,99.0,9999.0,582.22,927.6,1009.05,186.75,0.0582,A
N49,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N50,N38,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,N52,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,T_10,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N51,N52,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N37,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N52,N50,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N51,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N53,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N52,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N54,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N57,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N54,N53,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N54,N55,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N54,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N58,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N56,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N55,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N57,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N35,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N56,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N53,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N34,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N55,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N58,N59,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N58,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N61,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N62,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N60,N33,32.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N60,N61,76.6,8.0,800.0,147.26,176.97,269.29,48.77,0.1841,A
N61,N33,109.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N59,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N60,76.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N62,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N61,GYGY,50.0,99.0,9999.0,294.98,378.8,532.9,97.22,0.0295,A
N62,N59,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,N61,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,GYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N63,N30,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N63,N64,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N64,N63,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
SYJ,N13,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N7,50.0,99.0,9999.0,58.39,106.88,98.24,18.23,0.0058,A
TYST,N14,30.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
XYST,N30,50.0,99.0,9999.0,305.64,355.33,562.82,101.27,0.0306,A
XYST,N12,50.0,99.0,9999.0,1284.33,2492.57,2132.63,395.28,0.1284,A
XYST,N28,50.0,99.0,9999.0,134.73,325.73,205.36,40.55,0.0135,A
XYST,N29,50.0,99.0,9999.0,85.01,140.17,150.8,25.76,0.0085,A
XYGY,N13,50.0,99.0,9999.0,1273.02,2506.6,2101.49,391.91,0.1273,A
XYGY,N12,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYST,N28,50.0,99.0,9999.0,664.03,901.79,1102.78,243.02,0.0664,A
GYST,N29,50.0,99.0,9999.0,588.04,1023.75,1086.94,159.58,0.0588,A
GYST,N31,50.0,99.0,9999.0,191.71,223.66,351.46,63.9,0.0192,A
GYST,N32,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
CYGY,N28,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYGY,N61,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYGY,N62,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_16,N15,30.0,99.0,9999.0,639.2,1536.93,989.68,188.61,0.0639,A
T_16,N16,30.0,99.0,9999.0,452.78,1239.49,675.29,126.24,0.0453,A
T_25,N48,50.0,99.0,9999.0,204.61,326.29,350.11,66.95,0.0205,A
T_25,N39,50.0,99.0,9999.0,374.43,550.82,659.47,121.51,0.0374,A
T_25,N38,50.0,99.0,9999.0,12.26,14.52,22.81,3.96,0.0012,A
T_1,N25,50.0,99.0,9999.0,167.27,338.42,274.23,51.16,0.0167,A
T_1,N24,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N22,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N18,50.0,99.0,9999.0,133.17,215.28,228.82,42.99,0.0133,A
T_1,N20,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_2,N14,50.0,99.0,9999.0,675.3,1632.46,1048.21,197.59,0.0675,A
T_2,N15,50.0,99.0,9999.0,305.55,615.77,502.46,93.24,0.0306,A
T_2,N6,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_2,N27,50.0,99.0,9999.0,26.54,62.46,40.5,8.14,0.0027,A
T_3,N3,50.0,99.0,9999.0,97.63,247.74,148.55,28.3,0.0098,A
T_3,N4,50.0,99.0,9999.0,29.7,106.61,38.07,7.61,0.003,A
T_3,N5,50.0,99.0,9999.0,90.17,176.14,149.18,27.81,0.009,A
T_3,N2,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_4,N4,50.0,99.0,9999.0,388.98,934.71,603.38,114.5,0.0389,A
T_4,N14,50.0,99.0,9999.0,161.59,397.44,248.71,47.23,0.0162,A
T_5,N16,50.0,99.0,9999.0,187.92,629.12,251.26,49.63,0.0188,A
T_6,N44,50.0,99.0,9999.0,393.87,973.92,607.41,114.25,0.0394,A
T_6,N45,50.0,99.0,9999.0,19.42,22.36,35.13,6.64,0.0019,A
T_7,N42,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N43,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N32,50.0,99.0,9999.0,1389.17,2417.69,2365.48,437.75,0.1389,A
T_7,N46,50.0,99.0,9999.0,67.11,112.97,115.16,21.27,0.0067,A
T_7,N49,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N42,50.0,99.0,9999.0,488.26,756.9,855.91,155.8,0.0488,A
T_8,N41,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N49,50.0,99.0,9999.0,131.09,233.02,217.68,42.48,0.0131,A
T_8,N40,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N47,50.0,99.0,9999.0,216.0,304.72,382.5,70.78,0.0216,A
T_9,N37,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N38,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N48,50.0,99.0,9999.0,246.72,368.29,441.25,77.51,0.0247,A
T_10,N38,50.0,99.0,9999.0,269.59,356.87,484.61,88.52,0.027,A
T_10,N50,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
