u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N31,GYST,50.0,99.0,9999.0,364.5,425.25,668.25,121.5,0.0365,A
N32,N31,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N32,N43,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,N46,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,GYST,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N32,T_7,50.0,99.0,9999.0,1035.59,1578.15,1814.4,333.45,0.1036,A
N33,N31,135.1,12.0,1200.0,364.5,425.25,668.25,121.5,0.3038,A
N33,N34,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N46,206.8,12.0,1200.0,228.83,330.75,405.0,74.25,0.1907,A
N33,N61,109.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N33,N60,32.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N34,N33,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N35,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N58,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N34,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N37,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N57,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N36,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N35,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N37,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N38,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N35,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N36,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N38,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,N47,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N52,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N38,N36,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N37,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N48,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N39,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N50,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,T_25,50.0,99.0,9999.0,18.0,20.47,32.18,6.3,0.0018,A
N38,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N38,T_10,50.0,99.0,9999.0,226.8,264.6,415.8,75.6,0.0227,A
N39,N38,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N39,N40,65.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N39,N41,146.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N39,N48,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N39,T_25,50.0,99.0,9999.0,286.66,372.8,519.25,93.6,0.0287,A
N40,N39,65.1,6.0,600.0,218.92,278.62,402.26,70.38,0.3649,B
N40,N41,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,N49,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N41,N39,146.0,8.0,800.0,67.74,94.18,117.0,23.22,0.0847,A
N41,N40,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,N42,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N41,N45,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N42,N41,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N43,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N44,219.9,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N49,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N42,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N42,T_8,50.0,99.0,9999.0,423.53,614.25,753.41,136.08,0.0424,A
N43,N42,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N29,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N32,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N44,N28,210.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N44,N42,219.9,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N44,N29,115.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N44,N45,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N44,T_6,50.0,99.0,9999.0,174.19,330.28,290.99,53.87,0.0174,A
N45,N18,278.2,8.0,800.0,43.22,51.03,78.46,14.58,0.054,A
N45,N41,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N45,N44,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N45,T_6,50.0,99.0,9999.0,67.48,79.85,122.27,22.82,0.0067,A
N46,N33,206.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,N32,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N46,N47,240.0,12.0,1200.0,153.04,184.27,274.25,52.34,0.1275,A
N46,N49,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,T_7,50.0,99.0,9999.0,156.83,247.27,273.83,49.95,0.0157,A
N47,N37,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,N46,240.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,N48,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,T_9,50.0,99.0,9999.0,153.04,184.27,274.25,52.34,0.0153,A
N48,N38,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N39,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N47,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N48,N49,112.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N48,T_25,50.0,99.0,9999.0,201.86,271.84,356.81,67.64,0.0202,A
N48,T_9,50.0,99.0,9999.0,240.13,314.53,439.99,76.68,0.024,A
N49,N42,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N46,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N49,N40,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N48,112.4,12.0,1200.0,441.99,586.37,796.79,144.31,0.3683,B
N49,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N49,T_8,50.0,99.0,9999.0,61.58,117.65,100.64,19.62,0.0062,A
N50,N38,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,N52,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,T_10,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N51,N52,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N37,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N52,N50,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N51,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N53,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N52,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N54,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N57,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N54,N53,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N54,N55,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N54,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N58,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N56,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N55,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N57,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N35,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N56,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N53,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N34,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N55,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N58,N59,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N58,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N61,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N62,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N60,N33,32.7,8.0,800.0,296.65,361.46,535.73,99.79,0.3708,B
N60,N61,76.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N33,109.2,8.0,800.0,296.67,394.54,537.53,95.96,0.3708,B
N61,N59,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N60,76.6,8.0,800.0,296.65,361.46,535.73,99.79,0.3708,B
N61,N62,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N61,GYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N62,N59,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,N61,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,GYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N63,N30,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N63,N64,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N64,N63,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
SYJ,N13,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N3,50.0,99.0,9999.0,87.07,292.95,116.1,22.95,0.0087,A
TYGY,N4,50.0,99.0,9999.0,1047.59,2391.48,1653.5,312.39,0.1048,A
TYGY,N7,50.0,99.0,9999.0,168.63,188.37,312.1,56.16,0.0169,A
TYST,N14,30.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
XYST,N30,50.0,99.0,9999.0,439.43,930.98,718.38,130.81,0.0439,A
XYST,N12,50.0,99.0,9999.0,115.83,255.62,179.08,36.54,0.0116,A
XYST,N28,50.0,99.0,9999.0,460.07,909.41,743.44,146.09,0.046,A
XYST,N29,50.0,99.0,9999.0,555.85,543.22,1058.78,183.89,0.0556,A
XYGY,N13,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
XYGY,N12,50.0,99.0,9999.0,652.05,1653.75,992.25,189.0,0.0652,A
GYST,N28,50.0,99.0,9999.0,125.22,184.27,223.99,39.6,0.0125,A
GYST,N29,50.0,99.0,9999.0,239.28,240.97,444.26,81.9,0.0239,A
GYST,N31,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYST,N32,50.0,99.0,9999.0,1035.59,1578.15,1814.4,333.45,0.1036,A
CYGY,N28,50.0,99.0,9999.0,253.93,793.8,352.35,68.85,0.0254,A
GYGY,N61,50.0,99.0,9999.0,593.33,756.0,1073.25,195.75,0.0593,A
GYGY,N62,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_16,N15,30.0,99.0,9999.0,170.85,358.94,278.84,51.3,0.0171,A
T_16,N16,30.0,99.0,9999.0,475.18,788.76,821.65,149.8,0.0475,A
T_25,N48,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_25,N39,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_25,N38,50.0,99.0,9999.0,69.93,79.22,125.24,24.44,0.007,A
T_1,N25,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N24,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N22,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N18,50.0,99.0,9999.0,67.48,79.85,122.27,22.82,0.0067,A
T_1,N20,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_2,N14,50.0,99.0,9999.0,69.86,177.19,106.31,20.25,0.007,A
T_2,N15,50.0,99.0,9999.0,774.77,1574.53,1267.99,236.92,0.0775,A
T_2,N6,50.0,99.0,9999.0,74.52,189.0,113.4,21.6,0.0075,A
T_2,N27,50.0,99.0,9999.0,214.2,416.27,354.31,66.28,0.0214,A
T_3,N3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_3,N4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_3,N5,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_3,N2,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_4,N4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_4,N14,50.0,99.0,9999.0,826.4,1834.56,1315.37,248.33,0.0826,A
T_5,N16,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_6,N44,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_6,N45,50.0,99.0,9999.0,43.22,51.03,78.46,14.58,0.0043,A
T_7,N42,50.0,99.0,9999.0,423.53,614.25,753.41,136.08,0.0424,A
T_7,N43,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N32,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N46,50.0,99.0,9999.0,81.04,100.8,143.08,28.04,0.0081,A
T_7,N49,50.0,99.0,9999.0,503.57,704.03,897.43,163.93,0.0504,A
T_8,N42,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N41,50.0,99.0,9999.0,67.74,94.18,117.0,23.22,0.0068,A
T_8,N49,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N40,50.0,99.0,9999.0,218.92,278.62,402.26,70.38,0.0219,A
T_9,N47,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N37,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N38,50.0,99.0,9999.0,174.87,205.85,322.74,57.47,0.0175,A
T_9,N48,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_10,N38,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_10,N50,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
